"time","GSR","pks","pwr"
454,2.1777,0,0
454.1,2.1777,0,0
454.2,2.2045,0,0
454.3,2.2045,0,0
454.4,2.2345,0,0
454.5,2.2345,0,0
454.6,2.2636,0,0
454.7,2.2636,0,0
454.8,2.2853,0,0
454.9,2.2853,0,0
455,2.2853,0,0
455.1,2.296,2.296,0.2707
455.2,2.296,0,0
455.3,2.2949,0,0
455.4,2.2949,0,0
455.5,2.2847,0,0
455.6,2.2847,0,0
455.7,2.2847,0,0
455.8,2.2704,0,0
455.9,2.2704,0,0
456,2.2552,0,0
456.1,2.2552,0,0
456.2,2.2412,0,0
456.3,2.2412,0,0
456.4,2.2412,0,0
456.5,2.2283,0,0
456.6,2.2283,0,0
456.7,2.2161,0,0
456.8,2.2161,0,0
456.9,2.204,0,0
457,2.204,0,0
457.1,2.204,0,0
457.2,2.1925,0,0
457.3,2.1925,0,0
457.4,2.1811,0,0
457.5,2.1811,0,0
457.6,2.1703,0,0
457.7,2.1703,0,0
457.8,2.1611,0,0
457.9,2.1611,0,0
458,2.1611,0,0
458.1,2.1534,0,0
458.2,2.1534,0,0
458.3,2.1457,0,0
458.4,2.1457,0,0
458.5,2.1385,0,0
458.6,2.1385,0,0
458.7,2.1385,0,0
458.8,2.1304,0,0
458.9,2.1304,0,0
459,2.1238,0,0
459.1,2.1238,0,0
459.2,2.1196,0,0
459.3,2.1196,0,0
459.4,2.1196,0,0
459.5,2.1172,0,0
459.6,2.1172,0,0
459.7,2.1172,0,0
459.8,2.1172,0,0
459.9,2.1196,0,0
460,2.1196,0,0
460.1,2.1248,0,0
460.2,2.1248,0,0
460.3,2.1248,0,0
460.4,2.1366,0,0
460.5,2.1366,0,0
460.6,2.1548,0,0
460.7,2.1548,0,0
460.8,2.1777,0,0
460.9,2.1777,0,0
461,2.1777,0,0
461.1,2.202,0,0
461.2,2.202,0,0
461.3,2.2237,0,0
461.4,2.2237,0,0
461.5,2.2381,0,0
461.6,2.2381,0,0
461.7,2.2381,0,0
461.8,2.2448,2.2448,0.1276
461.9,2.2448,0,0
462,2.2443,0,0
462.1,2.2443,0,0
462.2,2.2365,0,0
462.3,2.2365,0,0
462.4,2.2365,0,0
462.5,2.2258,0,0
462.6,2.2258,0,0
462.7,2.2136,0,0
462.8,2.2136,0,0
462.9,2.2015,0,0
463,2.2015,0,0
463.1,2.192,0,0
463.2,2.192,0,0
463.3,2.192,0,0
463.4,2.1851,0,0
463.5,2.1851,0,0
463.6,2.1816,0,0
463.7,2.1816,0,0
463.8,2.1801,0,0
463.9,2.1801,0,0
464,2.1801,0,0
464.1,2.1792,0,0
464.2,2.1792,0,0
464.3,2.1767,0,0
464.4,2.1767,0,0
464.5,2.1728,0,0
464.6,2.1728,0,0
464.7,2.1728,0,0
464.8,2.1679,0,0
464.9,2.1679,0,0
465,2.1621,0,0
465.1,2.1621,0,0
465.2,2.1572,0,0
465.3,2.1572,0,0
465.4,2.1524,0,0
465.5,2.1524,0,0
465.6,2.1524,0,0
465.7,2.1471,0,0
465.8,2.1471,0,0
465.9,2.1433,0,0
466,2.1433,0,0
466.1,2.1399,0,0
466.2,2.1399,0,0
466.3,2.1399,0,0
466.4,2.1366,0,0
466.5,2.1366,0,0
466.6,2.1333,0,0
466.7,2.1333,0,0
466.8,2.1295,0,0
466.9,2.1295,0,0
467,2.1295,0,0
467.1,2.1252,0,0
467.2,2.1252,0,0
467.3,2.121,0,0
467.4,2.121,0,0
467.5,2.1168,0,0
467.6,2.1168,0,0
467.7,2.1168,0,0
467.8,2.113,0,0
467.9,2.113,0,0
468,2.1098,0,0
468.1,2.1098,0,0
468.2,2.1061,0,0
468.3,2.1061,0,0
468.4,2.1028,0,0
468.5,2.1028,0,0
468.6,2.1028,0,0
468.7,2.0996,0,0
468.8,2.0996,0,0
468.9,2.0968,0,0
469,2.0968,0,0
469.1,2.0941,0,0
469.2,2.0941,0,0
469.3,2.0941,0,0
469.4,2.0918,0,0
469.5,2.0918,0,0
469.6,2.089,0,0
469.7,2.089,0,0
469.8,2.0867,0,0
469.9,2.0867,0,0
470,2.0867,0,0
470.1,2.0849,0,0
470.2,2.0849,0,0
470.3,2.0826,0,0
470.4,2.0826,0,0
470.5,2.0808,0,0
470.6,2.0808,0,0
470.7,2.0794,0,0
470.8,2.0794,0,0
470.9,2.0794,0,0
471,2.0781,0,0
471.1,2.0781,0,0
471.2,2.0772,0,0
471.3,2.0772,0,0
471.4,2.0754,0,0
471.5,2.0754,0,0
471.6,2.0754,0,0
471.7,2.0736,0,0
471.8,2.0736,0,0
471.9,2.0718,0,0
472,2.0718,0,0
472.1,2.0695,0,0
472.2,2.0695,0,0
472.3,2.0695,0,0
472.4,2.0673,0,0
472.5,2.0673,0,0
472.6,2.065,0,0
472.7,2.065,0,0
472.8,2.0628,0,0
472.9,2.0628,0,0
473,2.0628,0,0
473.1,2.061,0,0
473.2,2.061,0,0
473.3,2.0587,0,0
473.4,2.0587,0,0
473.5,2.057,0,0
473.6,2.057,0,0
473.7,2.0547,0,0
473.8,2.0547,0,0
473.9,2.0547,0,0
474,2.0525,0,0
474.1,2.0525,0,0
474.2,2.0503,0,0
474.3,2.0503,0,0
474.4,2.0481,0,0
474.5,2.0481,0,0
474.6,2.0481,0,0
474.7,2.0463,0,0
474.8,2.0463,0,0
474.9,2.0446,0,0
475,2.0446,0,0
475.1,2.0428,0,0
475.2,2.0428,0,0
475.3,2.0428,0,0
475.4,2.041,0,0
475.5,2.041,0,0
475.6,2.0393,0,0
475.7,2.0393,0,0
475.8,2.038,0,0
475.9,2.038,0,0
476,2.038,0,0
476.1,2.0371,0,0
476.2,2.0371,0,0
476.3,2.0358,0,0
476.4,2.0358,0,0
476.5,2.0353,0,0
476.6,2.0353,0,0
476.7,2.0353,0,0
476.8,2.0353,0,0
476.9,2.0353,0,0
477,2.0349,0,0
477.1,2.0349,0,0
477.2,2.034,0,0
477.3,2.034,0,0
477.4,2.0327,0,0
477.5,2.0327,0,0
477.6,2.0327,0,0
477.7,2.031,0,0
477.8,2.031,0,0
477.9,2.0283,0,0
478,2.0283,0,0
478.1,2.0257,0,0
478.2,2.0257,0,0
478.3,2.0257,0,0
478.4,2.0231,0,0
478.5,2.0231,0,0
478.6,2.021,0,0
478.7,2.021,0,0
478.8,2.0184,0,0
478.9,2.0184,0,0
479,2.0162,0,0
479.1,2.0162,0,0
479.2,2.0162,0,0
479.3,2.0136,0,0
479.4,2.0136,0,0
479.5,2.0115,0,0
479.6,2.0115,0,0
479.7,2.0098,0,0
479.8,2.0098,0,0
479.9,2.0098,0,0
480,2.0098,0,0
480.1,2.0098,0,0
480.2,2.0154,0,0
480.3,2.0154,0,0
480.4,2.0301,0,0
480.5,2.0301,0,0
480.6,2.0301,0,0
480.7,2.0583,0,0
480.8,2.0583,0,0
480.9,2.1,0,0
481,2.1,0,0
481.1,2.1524,0,0
481.2,2.1524,0,0
481.3,2.1524,0,0
481.4,2.205,0,0
481.5,2.205,0,0
481.6,2.2515,0,0
481.7,2.2515,0,0
481.8,2.2853,0,0
481.9,2.2853,0,0
482,2.3019,0,0
482.1,2.3019,0,0
482.2,2.3019,0,0
482.3,2.3068,2.3068,0.297
482.4,2.3068,0,0
482.5,2.3003,0,0
482.6,2.3003,0,0
482.7,2.2906,0,0
482.8,2.2906,0,0
482.9,2.2906,0,0
483,2.2831,0,0
483.1,2.2831,0,0
483.2,2.273,0,0
483.3,2.273,0,0
483.4,2.2636,0,0
483.5,2.2636,0,0
483.6,2.2636,0,0
483.7,2.2526,0,0
483.8,2.2526,0,0
483.9,2.2381,0,0
484,2.2381,0,0
484.1,2.2288,0,0
484.2,2.2288,0,0
484.3,2.2247,0,0
484.4,2.2247,0,0
484.5,2.2247,0,0
484.6,2.2258,0,0
484.7,2.2258,0,0
484.8,2.2381,0,0
484.9,2.2381,0,0
485,2.2636,0,0
485.1,2.2636,0,0
485.2,2.2636,0,0
485.3,2.2987,0,0
485.4,2.2987,0,0
485.5,2.3448,0,0
485.6,2.3448,0,0
485.7,2.3805,0,0
485.8,2.3805,0,0
485.9,2.3805,0,0
486,2.3989,2.3989,0.1742
486.1,2.3989,0,0
486.2,2.3989,0,0
486.3,2.3989,0,0
486.4,2.3747,0,0
486.5,2.3747,0,0
486.6,2.3747,0,0
486.7,2.3482,0,0
486.8,2.3482,0,0
486.9,2.3243,0,0
487,2.3243,0,0
487.1,2.3123,0,0
487.2,2.3123,0,0
487.3,2.3068,0,0
487.4,2.3068,0,0
487.5,2.3068,0,0
487.6,2.3014,0,0
487.7,2.3014,0,0
487.8,2.2992,0,0
487.9,2.2992,0,0
488,2.2976,0,0
488.1,2.2976,0,0
488.2,2.2976,0,0
488.3,2.2998,0,0
488.4,2.2998,0,0
488.5,2.3009,0,0
488.6,2.3009,0,0
488.7,2.3014,0,0
488.8,2.3014,0,0
488.9,2.3014,0,0
489,2.3009,0,0
489.1,2.3009,0,0
489.2,2.3144,0,0
489.3,2.3144,0,0
489.4,2.3685,0,0
489.5,2.3685,0,0
489.6,2.4644,0,0
489.7,2.4644,0,0
489.8,2.4644,0,0
489.9,2.5958,0,0
490,2.5958,0,0
490.1,2.7474,0,0
490.2,2.7474,0,0
490.3,2.8757,0,0
490.4,2.8757,0,0
490.5,2.8757,0,0
490.6,2.9637,0,0
490.7,2.9637,0,0
490.8,3.0091,0,0
490.9,3.0091,0,0
491,3.0135,3.0135,0.7126
491.1,3.0135,0,0
491.2,3.0135,0,0
491.3,2.9901,0,0
491.4,2.9901,0,0
491.5,2.9511,0,0
491.6,2.9511,0,0
491.7,2.9064,0,0
491.8,2.9064,0,0
491.9,2.9064,0,0
492,2.8646,0,0
492.1,2.8646,0,0
492.2,2.8253,0,0
492.3,2.8253,0,0
492.4,2.7908,0,0
492.5,2.7908,0,0
492.6,2.7577,0,0
492.7,2.7577,0,0
492.8,2.7577,0,0
492.9,2.729,0,0
493,2.729,0,0
493.1,2.7044,0,0
493.2,2.7044,0,0
493.3,2.6831,0,0
493.4,2.6831,0,0
493.5,2.6831,0,0
493.6,2.6655,0,0
493.7,2.6655,0,0
493.8,2.6509,0,0
493.9,2.6509,0,0
494,2.6384,0,0
494.1,2.6384,0,0
494.2,2.6384,0,0
494.3,2.6268,0,0
494.4,2.6268,0,0
494.5,2.6159,0,0
494.6,2.6159,0,0
494.7,2.6051,0,0
494.8,2.6051,0,0
494.9,2.6051,0,0
495,2.5958,0,0
495.1,2.5958,0,0
495.2,2.5918,0,0
495.3,2.5918,0,0
495.4,2.6011,0,0
495.5,2.6011,0,0
495.6,2.6254,0,0
495.7,2.6254,0,0
495.8,2.6254,0,0
495.9,2.6697,0,0
496,2.6697,0,0
496.1,2.7312,0,0
496.2,2.7312,0,0
496.3,2.7976,0,0
496.4,2.7976,0,0
496.5,2.7976,0,0
496.6,2.8662,0,0
496.7,2.8662,0,0
496.8,2.9245,0,0
496.9,2.9245,0,0
497,2.9663,0,0
497.1,2.9663,0,0
497.2,2.9663,0,0
497.3,2.9944,0,0
497.4,2.9944,0,0
497.5,3.0082,0,0
497.6,3.0082,0,0
497.7,3.0126,0,0
497.8,3.0126,0,0
497.9,3.0161,0,0
498,3.0161,0,0
498.1,3.0161,0,0
498.2,3.0274,0,0
498.3,3.0274,0,0
498.4,3.0531,0,0
498.5,3.0531,0,0
498.6,3.0918,0,0
498.7,3.0918,0,0
498.8,3.0918,0,0
498.9,3.138,0,0
499,3.138,0,0
499.1,3.1835,0,0
499.2,3.1835,0,0
499.3,3.2184,0,0
499.4,3.2184,0,0
499.5,3.2184,0,0
499.6,3.2381,0,0
499.7,3.2381,0,0
499.8,3.2421,3.2421,0.6503
499.9,3.2421,0,0
500,3.2322,0,0
